id,Date,Reporter,Title,Pool Report,Off the Record,Other type?,Phone Present,Auto- Redact,Manual Redact,Email Present,Auto- Redact,Manual Redact,Address Present,Auto- Redact,Manual Redact,Review Complete,Publish,Comments
33,"Tue, 6 Apr 2021 19:05:44 +0000",Courtney Subramanian,In-Town Pool Report #14 - WH arrival,TRUE,FALSE,,1,1,,,,,,,,1,1,
34,"Tue, 6 Apr 2021 18:52:29 +0000",Courtney Subramanian,In-Town Pool Report #13 - Motorcade rolling,TRUE,FALSE,,1,1,,,,,,,,1,1,
35,"Tue, 6 Apr 2021 18:31:54 +0000",Courtney Subramanian,In-Town Pool Report #12 - more color from tour,TRUE,FALSE,,1,1,,,,,,,,1,1,
36,"Tue, 6 Apr 2021 18:25:22 +0000",Courtney Subramanian,In-Town Pool Report #11 -POTUS arrival,TRUE,FALSE,,1,1,,,,,,,,1,1,
37,"Tue, 6 Apr 2021 18:18:57 +0000",Courtney Subramanian,In-Town Pool Report #10 - Chapel vaccination site,TRUE,FALSE,,1,1,,,,,,,,1,1,
38,"Tue, 6 Apr 2021 18:11:10 +0000",Courtney Subramanian,In-Town Pool Report #9  - Vaccination site arrival,TRUE,FALSE,,1,1,,,,,,,,1,1,
39,"Tue, 6 Apr 2021 13:02:27 -0500",Isaac Dovere,VP pool report #1,TRUE,FALSE,, , ,,,,,,,,1,1,
40,"Tue, 6 Apr 2021 17:55:38 +0000",Courtney Subramanian,In-Town Pool Report #8 -  White House departure,TRUE,FALSE,,1,1,,,,,,,,1,1,
41,"Tue, 6 Apr 2021 17:38:09 +0000",Courtney Subramanian,In-Town Pool Report #7 - Holding in press vans,TRUE,FALSE,,1,1,,,,,,,,1,1,
42,"Tue, 6 Apr 2021 17:11:05 +0000",Courtney Subramanian,In-Town Pool Report #6 - Pool holding,TRUE,FALSE,,1,1,,,,,,,,1,1,
43,"Tue, 6 Apr 2021 16:59:57 +0000",Courtney Subramanian,In-Town Pool Report #5 - Briefing ends,TRUE,FALSE,,1,1,,,,,,,,1,1,
44,"Tue, 6 Apr 2021 16:15:44 +0000",Courtney Subramanian,In-Town Pool Report #4 - Briefing begins,TRUE,FALSE,,1,1,,,,,,,,1,1,
45,"Tue, 6 Apr 2021 16:13:54 +0000",Courtney Subramanian,In-Town Pool Report #3 - Two-minute warning,TRUE,FALSE,,1,1,,,,,,,,1,1,
46,"Tue, 6 Apr 2021 15:01:17 +0000",Courtney Subramanian,In-Town Pool Report #2 - Lunch lid,TRUE,FALSE,,1,1,,,,,,,,1,1,
47,"Tue, 6 Apr 2021 14:16:52 +0000",Courtney Subramanian,In-Town Pool Report #1 - No schedule changes,TRUE,FALSE,,1,1,,,,,,,,1,1,
48,"Tue, 6 Apr 2021 00:27:31 +0000",Michelle Maxwell,SGOTUS pool report #3,TRUE,FALSE,,,,,,,,,,,1,1,
49,"Mon, 5 Apr 2021 23:06:30 +0000",Michelle Maxwell,FW: SGOTUS pool report #2,TRUE,FALSE,,,,,,,,,,,1,1,
50,"Mon, 5 Apr 2021 15:59:33 -0700",Isaac Dovere,VP pool report #4,TRUE,FALSE,, , ,,,,,,,,1,1,
51,"Mon, 5 Apr 2021 21:22:27 +0000",Michelle Maxwell,SGOTUS pool report #1,TRUE,FALSE,,1,1,,1,1,,1,,1,1,1,
52,"Mon, 5 Apr 2021 12:36:18 -0700",Isaac Dovere,VP Pool report #3,TRUE,FALSE,, , ,,,,,,,,1,1,
53,"Mon, 5 Apr 2021 15:25:41 -0400",Brian Bennett,In town pool report #8 - lid,TRUE,FALSE,,1,1,,,,,,,,1,1,
54,"Mon, 5 Apr 2021 18:43:19 +0000",Zeke Miller,COVID-19 Notice,FALSE,FALSE,,,,,,,,,,,1,0,
55,"Mon, 5 Apr 2021 14:37:43 -0400",Brian Bennett,In town pool report #7 - no news. briefing over,TRUE,FALSE,,1,1,,,,,,,,1,1,
56,"Mon, 5 Apr 2021 11:28:05 -0700",Isaac Dovere,VP pool report #2,TRUE,FALSE,, , ,,,,,,,,1,1,
57,"Mon, 5 Apr 2021 13:35:40 -0400",Brian Bennett,Pool note --2 min warning for briefing,TRUE,FALSE,,1,1,,,,,,,,1,1,
58,"Mon, 5 Apr 2021 10:35:10 -0700",Isaac Dovere,VP pool report #1,TRUE,FALSE,, , ,,,,,,,,1,1,
59,"Mon, 5 Apr 2021 13:29:47 -0400",Brian Bennett,In town pool report #6 no news. Biden remarks on Easter traditions at the White House,TRUE,FALSE,,1,1,,,,,,,,1,1,
60,"Mon, 5 Apr 2021 12:48:05 -0400",Brian Bennett,"In town pool report #5 - no news. Easter remarks background info, photo",TRUE,FALSE,,1,1,,,,,,,,1,1,
61,"Mon, 5 Apr 2021 12:29:07 -0400",Brian Bennett,"In town pool report #4 - CSPAN video link to arrival remarks, gathering for Easter remarks",TRUE,FALSE,,1,1,,,,,,,,1,1,
62,"Mon, 5 Apr 2021 12:25:32 -0400",Brian Bennett,In town pool report #3 - Biden quotes from arrival,TRUE,FALSE,,1,1,,,,,,,,1,1,
63,"Mon, 5 Apr 2021 11:56:14 -0400",Brian Bennett,"In town pool report #2 - Biden arrival, brief comments",TRUE,FALSE,,1,1,,,,,,,,1,1,
64,"Mon, 5 Apr 2021 10:50:27 -0400",Brian Bennett,In town pool report #1 - checking in,TRUE,FALSE,,1,1,,,,,,,,1,1,
65,"Sun, 4 Apr 2021 23:19:25 +0000",Tamara Keith,"FPPO/OTR White House Week Ahead, Week of April 5",FALSE,TRUE,,,,,,,,,,,1,0,
66,"Sun, 4 Apr 2021 10:42:44 -0400",Niels Lesniewski,In-town pool report #1 - lid,TRUE,FALSE,,1,1,,1,1,,,,,1,1,
67,"Sat, 3 Apr 2021 15:29:29 +0000",Jonathan Salant,WH Pool Report 2 -- President's Schedule,TRUE,FALSE,,1,1,,1,1,,,,,1,1,
68,"Sat, 3 Apr 2021 14:14:10 +0000",Jonathan Salant,WH pool report 1 - lid,TRUE,FALSE,,1,1,,1,1,,,,,1,1,
69,"Fri, 2 Apr 2021 18:46:11 +0000",Philip Wegmann,In-Town Pool Report #8: Lid,TRUE,FALSE,,1,,1,,,,,,,1,1,
70,"Fri, 2 Apr 2021 17:42:55 +0000",Philip Wegmann,In-Town Pool Report #7: Marine One Lands at Camp David,TRUE,FALSE,,1,,1,,,,,,,1,1,
71,"Fri, 2 Apr 2021 17:20:38 +0000",Philip Wegmann,In town pool report #6: Briefing Ends,TRUE,FALSE,,1,,1,,,,,,,1,1,
72,"Fri, 2 Apr 2021 16:35:59 +0000",Philip Wegmann,In town pool report #5: Briefing Begins,TRUE,FALSE,,1,,1,,,,,,,1,1,
