Identifier,Message Body
body-260,"<div>At the end of golf the president initially came over to pool smiling and quipping: “The course record is still intact.” <div>He then took two questions one on Navalny and one on the refugee cap.</div> <div>Fuller quote on the latter:</div> <div> “We’re going to increase the number. The problem was that the refugee part was working on the crisis that ended up on the border with young people. We couldn’t do two things at once. But now we are going to increase the number.”</div> <div>Note that the sentences were a little garbled and also muffled by the mask the president was wearing.</div> <div>With thanks for assists from Jonathan Lemire and Tyler Pager.</div> <div> <div><br> </div> <div><br> <br> <div> <table> <tbody> <tr> <td> <p><b>Sebastian Smith</b></p> </td> </tr> <tr> <td> <p><i>White House correspondent</i></p> </td> </tr> <tr> <td>@SebastianAFP</td> </tr> <tr> <td> <p>Tel: <a href=""tel:▊▊▊▊▊▊▊▊▊▊"">▊▊▊▊▊▊▊▊▊▊</a> - Mob: <a href=""tel:▊▊▊▊▊▊▊▊▊▊"">▊▊▊▊▊▊▊▊▊▊</a></p> </td> </tr> <tr> <td> <table> <tbody> <tr> <td> <p><img alt=""Agence France-Presse"" height=""40"" src=""http://signature.afp.com/logo/LogoAFP.png""></p> </td> </tr> </tbody> </table> </td> </tr> </tbody> </table> Sent from my iPhone</div> </div> </div> </div>"
body-099,<div><p>Good morning from the White House I’ll be your print pooler for Vice President Kamala Harris’ virtual meeting with stakeholders to discuss COVID-19 public education efforts. This event will take place in the South Court Auditorium. </p><p>Feel free to send any questions to your pooler. </p><p>Thank you <br>Jessica Floyd<br>▊▊▊▊▊▊▊▊▊▊<br>TheGrio<br>▊▊▊▊▊▊▊▊▊▊</p> </div>
body-409,"<div> <div> <div>Your pool lifted off at 7:21 p.m. Your pooler caught a brief glimpse of Marine One and the extra one taking off in front of us. </div> <div><br> </div> <div>Marine One landed at Dobbins Air Reserve Base at 7:36 p.m. </div> <div><br> </div> <div>The Bidens disembarked Marine One at 7:42 p.m. </div> <div>Biden talked to your pool. </div> <div><br> </div> <div>He said of the Carter visit: </div> <p> “It was great.</p> <p> “It was great to see president Carter.</p> <p> “And we sat and talked about the old days.” </p> <p> “His health has gotten better.” </p> <p> Said he didn’t know about the Ellipse attack. </p> <p> He said the protesters at the rally were “Emotionally excited” and said he was “teasing” them about shutting down private prisons in five days. </p> <p> Talked about the Capito call said she could come to the WH next week or later. </p> <p> He was asked about Tim Scott would come to the WH. Said he would “Let them negotiate” meaning lawmakers. </p> <p> He also said Congress needed to step up on guns. </p> <p> Said the big challenge was deciding “What can I get done when.” </p> <p> Karine Jean-Pierre said the president has been briefed on the Ellipse attack - thought reporters were talking about a development today. </p> <p> Biden got on board at approximately 7:50. </p> <div><br> </div> <div><br> </div> <div>We’ll be wheels up shortly. </div> <div><br> </div> <div>Get <a href=""https://aka.ms/o0ukef""> Outlook for iOS</a></div> </div> </div> <br> <p><b>Disclaimer</b></p> <p>This e-mail and any attached files are intended for the named addressee only. It contains information which may be confidential and legally privileged and also protected by copyright. Unless you are the named addressee (or authorised to receive for the addressee) you may not copy or use it or disclose it to anyone else. If you received it in error please notify the sender immediately and then delete it from your system. Associated Newspapers Ltd. Registered Office: Northcliffe House 2 Derry St Kensington London W8 5TT. Registered No 84121 England.</p>"
body-267,"We have a lid <br> <br> <div> <table> <tbody> <tr> <td> <p><b>Sebastian Smith</b></p> </td> </tr> <tr> <td> <p><i>White House correspondent</i></p> </td> </tr> <tr> <td>@SebastianAFP</td> </tr> <tr> <td> <p>Tel: <a href=""tel:▊▊▊▊▊▊▊▊▊▊"">▊▊▊▊▊▊▊▊▊▊</a> - Mob: <a href=""tel:▊▊▊▊▊▊▊▊▊▊"">▊▊▊▊▊▊▊▊▊▊</a></p> </td> </tr> <tr> <td> <table> <tbody> <tr> <td> <p><img alt=""Agence France-Presse"" height=""40"" src=""http://signature.afp.com/logo/LogoAFP.png""></p> </td> </tr> </tbody> </table> </td> </tr> </tbody> </table> Sent from my iPhone</div>"
body-055,"<div><div>Briefing ended at 2:29 pm. </div><div><br></div>(Someone wearing an Easter Bunny costume came into the press room at around 2:24 pm. The bunny was wearing a maroon protective mask and carrying a basket of White House commemorative eggs and chocolates. ""We have a special guest"" Psaki said. One reporter asked if this was the same costume Sean Spicer wore when he dressed as the Easter Bunny. ""It does not look similar"" Psaki said but said she would have to check.)<div><br><div><br></div><div><div> <table> <tbody> <tr> <td> <a href=""https://time.com"" target=""_blank""><img height=""33"" src=""external_files/external_img04.png""></a> </td> <td> <div> Brian Bennett </div> <div> Senior White House Correspondent </div> <div> ▊▊▊▊▊▊▊▊▊▊ </div> </td> </tr> <tr> <td> <table> <tbody><tr> <td> <table> <tbody><tr> <td><a href=""https://twitter.com/time"" target=""_blank""><img height=""15"" src=""external_files/external_img34.png""></a></td> <td><a href=""https://www.facebook.com/time"" target=""_blank""><img height=""15"" src=""external_files/external_img13.png""></a></td> <td><a href=""https://www.instagram.com/time"" target=""_blank""><img height=""15"" src=""external_files/external_img23.png""></a></td> <td><a href=""https://www.linkedin.com/company/time/"" target=""_blank""><img height=""15"" src=""external_files/external_img20.png""></a></td> </tr> </tbody></table> </td> <td> Support our journalism. </td> <td> <a href=""https://www.TIME.com/edit-subscribe"" target=""_blank""><img height=""25"" src=""external_files/external_img15.png""></a> </td> </tr> </tbody></table> </td> </tr> </tbody> </table> </div></div></div></div>"
body-431,<p>The gaggle started streaming at 12:06pm<br><br>Laura Figueroa Hernandez<br>White House Correspondent<br>Newsday<br>Twitter: @Laura_Figueroa<br><br><br><br>Sent from my iPhone<br>-------------------------------------------------------------<br><br>The information transmitted in this email and any of its attachments is intended only for the person or entity to which it is addressed and may contain information concerning Newsday LLC and/or its affiliates that is proprietary privileged confidential and/or subject to copyright. Any review retransmission dissemination or other use of or taking of any action in reliance upon this information by persons or entities other than the intended recipient(s) is prohibited and may be unlawful. If you received this in error please contact the sender immediately and delete and destroy the communication and all of the attachments you have received and all copies thereof.<br><br>-------------------------------------------------------------<br><br><br></p>
body-293,"<div><div>Good morning! It's a brisk morning here at the White House. I'm Ryan Brooks your covid-tested pool reporter for an eventful day here with the Prime Minister of Japan. </div><div><br></div><div>The schedule so far: </div><div><i>10:30 press briefing by White House COVID-19 Response Team (live streamed at <a href=""http://whitehouse.gov/live"">whitehouse.gov/live</a>)</i></div><div><i>11:00 AM Press Briefing by Press Secretary Jen Psaki </i></div><div><i>2:30 The President hosts H.E. Suga Yoshidife Prime Minister of Japan for an expanded bilateral meeting</i></div><div><i>4:15 the president participates in a press conference with H.E. Suga Yoshihide</i></div><div><i>5:30 The President departs the White House en route to Wilmington Delaware</i></div><div><br></div><div>Please feel free to reach out with any questions that come up: ▊▊▊▊▊▊▊▊▊▊</div><div><br></div><div>Best </div>-- <br><div><div><div><div><div><div><div><div><div><div><div><div><div><b> Ryan Brooks |</b> <b>BuzzFeed </b><b>News </b><b>|</b> Politics reporter <b>|</b></div> <div><div><b><br><br></b></div></div></div></div></div></div></div></div></div></div></div></div></div></div></div>"
body-258,"<p> <a name=""_MailEndCompose"">Apologies. This final report should have been numbered #8 not #7.</a><br> <br> Having one more bash at the president's Navalny quote. This is cleaner but the mumbling/mask aspect and the syntax still leaves questions over whether there may be a word or two either missing or inaudible or both.<br> <br> <b>""It's totally totally unfair totally inappropriate</b> (possibly <b>""and"" </b>or possibly just a mumble) <b>on the basis of having been poisoned and then on a hunger strike. Wrong.""</b> (May have been: <b>""<i>It's</i> wrong.""</b>)<br> <br> <br> </p><table> <tbody> <tr> <td> <b>Sebastian Smith </b><br> </td> </tr> <tr> <td> <i>AFP White House correspondent </i><br> </td> </tr> <tr> <td> @SebastianAFP <br> </td> </tr> <tr> <td> Tel: ▊▊▊▊▊▊▊▊▊▊ <br> </td> </tr> <tr> <td> Join us on:<br> </td> </tr> 


    <tr>
        <td style=""padding:6.0pt 7.5pt 7.5pt 0in"">
        <table class=""MsoNormalTable"" border=""0"" cellspacing=""0"" cellpadding=""0"">
        <tbody>
        <tr>
        <td style=""padding:0in 0in 0in 0in"">
        <p class=""MsoNormal""><a href=""https://www.facebook.com/AFPnewsenglish/""><span style=""font-size:12.0pt;font-family:&quot;Arial&quot;&quot;sans-serif&quot;;color:blue;text-decoration:none""><img border=""0"" width=""28"" height=""28"" id=""_x0000_i1027"" src=""http://signature.afp.com/logo/2020_facebook.png"" alt=""http://signature.afp.com/logo/2020_facebook.png""></span></a><span style=""font-size:12.0pt;font-family:&quot;Arial&quot;&quot;sans-serif&quot;;color:black""><o:p></o:p></span></p>
        </td>
        <td style=""padding:0in 0in 0in 7.5pt"">
        <p class=""MsoNormal""><a href=""https://twitter.com/afp""><span style=""font-size:12.0pt;font-family:&quot;Arial&quot;&quot;sans-serif&quot;;color:blue;text-decoration:none""><img border=""0"" width=""28"" height=""28"" id=""_x0000_i1028"" src=""http://signature.afp.com/logo/2020_twitter.png"" alt=""http://signature.afp.com/logo/2020_twitter.png""></span></a><span style=""font-size:12.0pt;font-family:&quot;Arial&quot;&quot;sans-serif&quot;;color:black""><o:p></o:p></span></p>
        </td>
        <td style=""padding:0in 0in 0in 7.5pt"">
        <p class=""MsoNormal""><a href=""https://www.linkedin.com/company/afp/""><span style=""font-size:12.0pt;font-family:&quot;Arial&quot;&quot;sans-serif&quot;;color:blue;text-decoration:none""><img border=""0"" width=""28"" height=""28"" id=""_x0000_i1029"" src=""http://signature.afp.com/logo/2020_linkedin.png"" alt=""http://signature.afp.com/logo/2020_linkedin.png""></span></a><span style=""font-size:12.0pt;font-family:&quot;Arial&quot;&quot;sans-serif&quot;;color:black""><o:p></o:p></span></p>
        </td>
        <td style=""padding:0in 0in 0in 7.5pt"">
        <p class=""MsoNormal""><a href=""https://www.youtube.com/user/AFP""><span style=""font-size:12.0pt;font-family:&quot;Arial&quot;&quot;sans-serif&quot;;color:blue;text-decoration:none""><img border=""0"" width=""28"" height=""28"" id=""_x0000_i1030"" src=""http://signature.afp.com/logo/2020_youtube.png"" alt=""http://signature.afp.com/logo/2020_youtube.png""></span></a><span style=""font-size:12.0pt;font-family:&quot;Arial&quot;&quot;sans-serif&quot;;color:black""><o:p></o:p></span></p>
        </td>
        </tr>





</tbody> </table> <br> <br>"
body-407,"<div> <div> <div> <div>Air Force One was wheels up at 8 p.m. </div> <div><br> </div> <div>Anita Dunn spent about 35 minutes speaking off-the-record to the pool during the flight.</div> <div><br> </div> <div>We landed at 9:10 p.m. </div> <div><br> </div> <div>The president and first lady walked off AF1 at 9:21 p.m. </div> <div><br> </div> <div>They walked carefully down the steps as there’s a breeze and Dr. Biden is in heels. The Bidens got on board Marine One at 9:23 p.m. </div> <div><br> </div> <div>Marine One lifted off at 9:27 p.m. </div> <div><br> </div> <div>White House sends these along: </div> <div><br> </div> Following the President’s Joint Address yesterday where he called on Congress to pass the U.S. Citizenship Act and bring relief to Dreamers he and the First Lady met with Georgia Dreamers Jaime Rangel Jennifer Zenteno Raymond Partolan Israel Arce Perez and Cris Ramirez in Duluth today. They discussed their hopes for their futures and the urgent need for Congress to pass the Dream and Promise Act.</div> <p> Upon arrival at Dobbins Air Reserve Base the President and the First Lady were greeted by:</p> <p> Major General John P. Healy Commander 22nd Air Force Dobbins Air Reserve Base</p> <p> Chief Master Sergeant Vicki L. Robertson Command Chief Master Sergeant of the 94th Airlift Wing Dobbins Air Reserve Base </p> <br> Thanks again to Eli Stokols for the help today. Handing it off to in-town pool. Good night!  <div> <div><br> </div> <div>Get <a href=""https://aka.ms/o0ukef""> Outlook for iOS</a></div> </div> </div> </div> <br> <p><b>Disclaimer</b></p> <p>This e-mail and any attached files are intended for the named addressee only. It contains information which may be confidential and legally privileged and also protected by copyright. Unless you are the named addressee (or authorised to receive for the addressee) you may not copy or use it or disclose it to anyone else. If you received it in error please notify the sender immediately and then delete it from your system. Associated Newspapers Ltd. Registered Office: Northcliffe House 2 Derry St Kensington London W8 5TT. Registered No 84121 England.</p>"
body-251,"At 2:35 pm the motorcade entered the leafy driveway of a Greenville residence that was not the president’s home. No official word from the White House yet on whom the house belongs to or how long the Bidens are spending there. Pool is holding nearby in the parking lot at a nearby high school. <br> <br> <div> <table> <tbody> <tr> <td> <p><b>Sebastian Smith</b></p> </td> </tr> <tr> <td> <p><i>White House correspondent</i></p> </td> </tr> <tr> <td>@SebastianAFP</td> </tr> <tr> <td> <p>Tel: <a href=""tel:▊▊▊▊▊▊▊▊▊▊"">▊▊▊▊▊▊▊▊▊▊</a> - Mob: <a href=""tel:▊▊▊▊▊▊▊▊▊▊"">▊▊▊▊▊▊▊▊▊▊</a></p> </td> </tr> <tr> <td> <table> <tbody> <tr> <td> <p><img alt=""Agence France-Presse"" height=""40"" src=""http://signature.afp.com/logo/LogoAFP.png""></p> </td> </tr> </tbody> </table> </td> </tr> </tbody> </table> Sent from my iPhone</div>"
body-063,"<div><div><div>Marine One touched down on wide flat lawn of the Ellipse at 11:41 am. <div><br></div><div>President Biden walked out with the First Lady and Biden walked over to talk to the press. He started talking about his infrastructure proposal and took issue with Republicans saying there were things in there not related to infrastructure. He said that clean water is infrastructure investing in schools is infrastructure high speed rail is infrastructure. ""That's infrastructure"" he said. </div><div><br></div><div>""I'm going to push as hard as I can"" Biden said. </div><div><br></div><div>""Everybody else in the rest of the world is investing in infrastructure and we're going to do it here.""</div><div><br></div><div>Biden answered a question about the corporate tax rate and defended his position on raising it. He spoke for about 2 or 3 minutes then turned and stepped into the black limousine behind him. </div><div><br></div><div>It was hard to hear over the helicopter noise. Will send more fuller quotes soonest. </div><div><br></div><div>From the White House press office -- </div><div>Returning with the President:<div><br></div><div><p>Bruce Reed Assistant to the President &amp; Deputy Chief of Staff</p><p>Yohannes Abraham Chief of Staff &amp; Executive Secretary for the National Security Council</p><p>Anthony Bernal Assistant to the President &amp; Advisor to the First Lady</p><p>Stephen Goepfert Special Assistant to the President &amp; Personal Aide to the President</p><br></div></div><div><br></div><div><br></div><div><br></div><div><br></div><div><br></div><div><br></div><div><br></div> </div> </div> </div>-- <br><div>Brian Bennett<br>Senior White House Correspondent<br>Time magazine<br>Cell ▊▊▊▊▊▊▊▊▊▊<br>@ByBrianBennett</div>"
body-097,<b>Dr. Vivek Murthy U.S. Surgeon General opened the event with remarks and introduced the Bice President. </b><br><br><b>Vice President Harris called the surgeon general “tireless” in his efforts to combat COVID-19.</b><br><br><b>The Vice President highlighted faith leaders union leaders and business leaders were in attendance and part of the founding members coalition. </b><br><br><b>A “Share the Mic” program was mentioned as an option for members to host a Q&amp;A session with a doctor or nurse on the member’s social media platforms. </b><br><br><b>“The vaccine is safe and it will save lives” is one point Vice President Harris emphasis in her remarks. </b><br><br><b>More tk. Please check future remarks with the official transcript. </b><br>
body-438,<p>Good Morning from the White House on POTUS’ 100th day in office.<br><br>In-Town pool is gathering for POTUS’s Marine One departure to JBA.<br><br>Cheers<br>Laura<br><br>Laura Figueroa Hernandez<br>White House Correspondent<br>Newsday<br>Twitter: @Laura_Figueroa<br><br><br><br>Sent from my iPhone<br>-------------------------------------------------------------<br><br>The information transmitted in this email and any of its attachments is intended only for the person or entity to which it is addressed and may contain information concerning Newsday LLC and/or its affiliates that is proprietary privileged confidential and/or subject to copyright. Any review retransmission dissemination or other use of or taking of any action in reliance upon this information by persons or entities other than the intended recipient(s) is prohibited and may be unlawful. If you received this in error please contact the sender immediately and delete and destroy the communication and all of the attachments you have received and all copies thereof.<br><br>-------------------------------------------------------------<br><br><br></p>
body-090,<p> <br> <b>President Joe Biden joined a call of faith leaders at 12:15 hanging up at 12:28. </b><br> <br> Quick overview: No big news here. Biden called into the Zoom meeting and a stock photo of the president appeared on the screen as he spoke. <br> <br> The major thrust here is Biden acknowledges a resurgence of Covid and recognizes he needs faith leaders to urge skeptical communities to receive the vaccine and to not get too “cavalier” when traveling and abiding by Covid safety measures like mask-wearing.<br> <br> “They're going to listen to your words more than they are me as president of the United States “ Biden told the leaders they could talk to their congregations “about what we have to do what's available and not to be fearful not to be fearful of getting the vaccine.”<br> <br> Biden also noted that because he and family had been vaccinated he may be able to see family members on Easter. <br> <br> More quotes TK <br> <br> <br> <br> Natasha Korecki<br> White House Reporter<br> POLITICO<br> ▊▊▊▊▊▊▊▊▊▊ <br> @natashakorecki <br> <br> </p>
body-064,"<div><div>Greetings from a sunny spring day at the White House. Temperatures are in the 60s. </div><div><br></div><div>President Biden started the day at Camp David and is scheduled to arrive aboard Marine One at the Ellipse around 11:30 am. (The arrival today is not on the South Lawn.) </div><div><br></div><div>At 1 pm Biden is scheduled to give remarks on the ""tradition of Easter at the White House"" from the Blue Room balcony. There's a press briefing with White House Press Secretary Jen Psaki scheduled for 1:30 pm.</div><div><br></div><div>Best Brian</div><div><br></div><div>TIME magazine</div><div>Senior White House Correspondent</div><div>Cell ▊▊▊▊▊▊▊▊▊▊</div><div>@bybrianbennett</div><br><div><br></div>-- <br><div><br> <table> <tbody> <tr> <td> <a href=""https://time.com"" target=""_blank""><img height=""33"" src=""external_files/external_img04.png""></a> </td> <td> <div> Brian Bennett </div> <div> Senior White House Correspondent </div> <div> ▊▊▊▊▊▊▊▊▊▊ </div> </td> </tr> <tr> <td> <table> <tbody><tr> <td> <table> <tbody><tr> <td><a href=""https://twitter.com/time"" target=""_blank""><img height=""15"" src=""external_files/external_img34.png""></a></td> <td><a href=""https://www.facebook.com/time"" target=""_blank""><img height=""15"" src=""external_files/external_img13.png""></a></td> <td><a href=""https://www.instagram.com/time"" target=""_blank""><img height=""15"" src=""external_files/external_img23.png""></a></td> <td><a href=""https://www.linkedin.com/company/time/"" target=""_blank""><img height=""15"" src=""external_files/external_img20.png""></a></td> </tr> </tbody></table> </td> <td> Support our journalism. </td> <td> <a href=""https://www.TIME.com/edit-subscribe"" target=""_blank""><img height=""25"" src=""external_files/external_img15.png""></a> </td> </tr> </tbody></table> </td> </tr> </tbody> </table> </div></div>"
body-256,"<div> We have a brunch lid — lunch is for weekdays — until 8.30 p.m.</div> <div> <div> <br> </div> <div> <div> <p> Scott Bixby<br> White House Reporter<br> <i>(He / Him)</i></p> <div><img src=""attachments/Outlook-d2ucvpip.png""><br> </div> <br> </div> </div> </div>"
body-400,<div><div>Good morning all. I’ll be your print pooler for President Biden’s trip to Philadelphia today and subsequent stay in Wilmington. He’s scheduled to depart JBA at 12:25pm. The White House passes along the following —<div><br></div><div><p><b>BACKGROUND MEMORANDUM</b></p> <p><b>TO:</b> Out-of-Town Travel Pool</p><p><b>FROM:</b> White House Press Office</p><p><b>DATE:</b> April 30 2021</p><p><b>RE:</b> Background for the President’s Visit to Pennsylvania</p> <p><b><u>The Need for the American Jobs Plan in Pennsylvania</u></b></p> <p>Pennsylvania’s infrastructure received a C- grade on its Infrastructure Report Card. Toplines on the need for the American Jobs Plan in Pennsylvania include:</p> <ul><li>There are 3353 bridges and over 7540 miles of highway in poor condition and each driver pays $620 per year in costs due to driving on roads in need of repair.</li><li>From 2010 to 2020 Pennsylvania has experienced 37 extreme weather events costing the state up to $10 billion in damages.</li><li>Over the next 20 years Pennsylvania’s drinking water infrastructure will require $16.8 billion in additional funding.</li><li>In part due to a lack of available and affordable housing 720000 renters in Pennsylvania are rent burdened meaning they spend more than 30% of their income on rent.</li><li>5% of Pennsylvanians live in areas where by one definition there is no broadband infrastructure that provides minimally acceptable speeds and 14% of Pennsylvania households do not have an internet subscription.</li><li>In Pennsylvania 57% of residents live in a childcare desert.</li><li>Manufacturers account for more than 11% of total output in Pennsylvania employing 565000 workers or 9.3% of the state’s workforce.</li><li>In Pennsylvania an average low-income family spends 8-10% of their income on home energy costs forcing tough choices between paying energy bills and buying food medicine or other essentials. </li><li>As of 2019 there were 93861 Pennsylvanians working in clean energy and the American Jobs Plan invests in creating more well-paying union jobs advancing clean energy production.</li><li>Pennsylvania is home to over 800000 veterans 7.3% of whom are women and 55% of whom are over the age of 65.</li></ul> <p><b><u>The Need for the American Families Plan in Pennsylvania</u></b></p> <p>The American Families Plan (AFP) is an investment in Pennsylvania’s children and families. Toplines on the need for the American Families Plan in Pennsylvania include:</p> <ul><li><b>HIGHER EDUCATION:</b> The average cost of a 2-year degree in Pennsylvania is almost $5700 per year and high costs are part of the reason just 70% of students in Pennsylvania are able to complete a postsecondary degree of any kind within 6 years of enrolling. The AFP will provide at least two years of free community college to all students including Dreamers. It will also increase the maximum Pell Grant awards by approximately $1400 to support the nearly 200000 students in Pennsylvania who rely on Pell for their education. In addition the AFP will provide support to Pennsylvania’s 24 Historically Black Colleges and Universities (HBCUs) Tribal Colleges and Universities (TCUs) Hispanic-serving institutions (HSIs) and other minority-serving institutions (MSIs).</li><li><b>UNIVERSAL PRE-SCHOOL: </b>Across the U.S. high-minority and high-poverty high schools have seen 9.4% and 11.4% declines in college enrollment respectively. Just 48700 (or 17%) of the 286000 3- and 4-year-olds in Pennsylvania have access to publicly-funded pre-school. The AFP will provide access to free high-quality pre-school to all 3- and 4-year-olds in Pennsylvania.</li><li><b>INVESTING IN TEACHERS:</b> Pennsylvania has seen a 49% decline in new teacher supply. In Pennsylvania just 6% of teachers are teachers of color while students of color make up 35% of the student population. The AFP will invest $9 billion in our teachers.</li><li><b>CHILD CARE: </b>The average annual cost of a child care center for a toddler in Pennsylvania is $11400 meaning that a two-parent household would on average need to spend 11% of their income to afford care for one child every year. The AFP will enable low and middle-income families to pay no more than 7% of their income on high-quality child care generating lifetime benefits for over 289000 children in Pennsylvania and helping working families.</li><li><b>PAID LEAVE:</b> In Pennsylvania and across the nation more than 110 million workers lack access to paid family leave and nearly 84 million lack access to paid medical leave. The AFP will create a national comprehensive paid family and medical leave program.</li><li><b>CHILD NUTRITION: </b>16% of children in Pennsylvania live in food insecure households and 28% are obese. The AFP will ensure that the nutritional needs of Pennsylvania’s children are met by expanding access to free school meals to an additional 288000 students and providing 947000 students with resources to purchase food over the summer.</li><li><b>HEALTH CARE: </b>The AFP will make the health insurance premium reductions in the ARP permanent. In Pennsylvania that means 122000 uninsured people will gain coverage and 126000 will on average save hundreds of dollars per year on their premiums.</li></ul><ul><li><b>TAX CUTS FOR WORKING FAMILIES</b>: 13% of children under the age of 18 in Pennsylvania are considered poor. In addition nearly 24% of people in Pennsylvania have household incomes below basic family budget thresholds. The AFP will bolster financial security and spur economic growth in Pennsylvania by reducing taxes on the middle class and those striving to break into it.</li></ul> <p><b><u>The Impact of the American Rescue Plan in Pennsylvania</u></b></p> <p>In total Pennsylvania will receive the following American Rescue Plan (ARP) funding:</p><p>· $7.4 billion in state fiscal relief and $4.9 billion in local fiscal relief.</p><p>· More than $5.1 billion in relief for K-12 schools.</p><p>· Economic impact payments of up to $1400 per person (above the $600 per person provided in December) for more than 8.1 million adults and 2.8 million children (or 86% of all adults and 84% of all children in the state).</p><p>· Additional relief of up to $1600 per child through the Child Tax Credit to the families of 2368000 children lifting 140000 children out of poverty.</p><p>· Additional relief of up to nearly $1000 through the Earned Income Tax Credit.</p><p>· Credit to 700000 childless workers including many in frontline jobs.</p><p>· Marketplace health insurance premiums that are $1402 lower per month for a 60-year old couple earning $75000 per year.</p> <p><b><u>Federal Support for Pennsylvania Vaccinations</u></b></p> <p><b>Pharmacies: </b>As of April 28 the Biden-Harris Administration has made vaccine available in over 1600 pharmacies across the state with over 1100 receiving deliveries in the past week. Participating stores are primarily Rite Aid CVS Topco and Walmart locations but span multiple other pharmacy partners.</p> <p><b>Community Health Centers: </b>The Biden-Harris Administration has invited 46 health centers in Pennsylvania to receive direct vaccine allocations spanning 30 cities. The centers combined have sites at over 300 different care delivery locations across the state. As of April 28 37700 doses have been delivered to Community Health Centers in Pennsylvania through the federal vaccinations program.</p> <p><b>Federal Funding:</b> As of April 26 the Biden-Harris Administration has provided over $212 million to the state to support vaccination operations. There are 13 federally-supported community vaccination centers in the state including one FEMA Pilot site at the Pennsylvania Convention Center. There are over 375 federal personnel currently deployed to the state to support vaccination operations in addition to over 430 federally-funded National Guard members currently supporting the COVID-19 response.</p></div> </div> </div>-- <br><div><div>Morgan Chalfant<div>White House correspondent The Hill</div><div>▊▊▊▊▊▊▊▊▊▊</div><div>▊▊▊▊▊▊▊▊▊▊</div></div></div>
body-269,"<div> <div>Marine One landed at the Air National Guard base in New Castle just before 7:00 pm. </div> <div>POTUS disembarked immediately. He gave a little wave but got in a black SUV without coming over to take questions from pool. Seeking info on who was traveling with Biden.</div> <div>Motorcade rolling at 7:01 pm.</div> <div><br> <br> <div> <table> <tbody> <tr> <td> <p><b>Sebastian Smith</b></p> </td> </tr> <tr> <td> <p><i>White House correspondent</i></p> </td> </tr> <tr> <td>@SebastianAFP</td> </tr> <tr> <td> <p>Tel: <a href=""tel:▊▊▊▊▊▊▊▊▊▊"">▊▊▊▊▊▊▊▊▊▊</a> - Mob: <a href=""tel:▊▊▊▊▊▊▊▊▊▊"">▊▊▊▊▊▊▊▊▊▊</a></p> </td> </tr> <tr> <td> <table> <tbody> <tr> <td> <p><img alt=""Agence France-Presse"" height=""40"" src=""http://signature.afp.com/logo/LogoAFP.png""></p> </td> </tr> </tbody> </table> </td> </tr> </tbody> </table> Sent from my iPhone</div> </div> </div>"
body-202,"<div> <div>White House sends an update: </div> <div><br> </div> <div> Because of the announcement that a verdict will soon be announced in the Chauvin trial the President’s remarks on the American Jobs Plan after his virtual tour of Proterra have been rescheduled.</div> <div><br> </div> <div><br>  <div>Get <a href=""https://aka.ms/o0ukef""> Outlook for iOS</a></div> </div> </div> <br> <p><b>Disclaimer</b></p> <p>This e-mail and any attached files are intended for the named addressee only. It contains information which may be confidential and legally privileged and also protected by copyright. Unless you are the named addressee (or authorised to receive for the addressee) you may not copy or use it or disclose it to anyone else. If you received it in error please notify the sender immediately and then delete it from your system. Associated Newspapers Ltd. Registered Office: Northcliffe House 2 Derry St Kensington London W8 5TT. Registered No 84121 England.</p>"
body-030,"<p> Two-minute warning for the president’s remarks on a vaccination update from the State Dining Room. <br> <br> Eight chairs were set up toward the back right side of the room for members of pool and roped off from the podium. <br> <br> As a reminder you can watch the remarks here: <a href=""https://www.whitehouse.gov/live/""> https://www.whitehouse.gov/live/</a><br> <br> <br> Courtney Subramanian<br> White House correspondent<br> USA TODAY<br> ▊▊▊▊▊▊▊▊▊▊<br> @cmsub<br> <br> <br> <br> </p>"
