Identifier,Title,Date,Creator,Object Type,Format,Rights Statement,FILES
202104_188,FLOTUS Travel Pool #5: Inside first stop,2021-04-09T11:32:44-05:00,Sarah Mucha,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,188/body-188.html
202104_189,Pool report #2: Two-minute warning,2021-04-09T12:31:43-04:00,Rob Crilly,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,189/body-189.html
202104_190,FLOTUS Travel Pool #5: Arrived at first stop,2021-04-09T12:08:18-04:00,Sarah Mucha,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,190/body-190.html
202104_191,"FLOTUS Pool # 4: Landed in Birmingham, rolling to first event",2021-04-09T11:57:21-04:00,Sarah Mucha,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,191/body-191.html
202104_192,Pool report #1: Checking in plus economic briefing attendees,2021-04-09T11:02:51-04:00,Rob Crilly,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,192/body-192.html
202104_193,FLOTUS Travel Pool #3: Wheels up,2021-04-09T09:57:23-04:00,Sarah Mucha,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,193/body-193.html
202104_194,FLOTUS Travel Pool #2: Arrived at JBA,2021-04-09T09:46:04-04:00,Sarah Mucha,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,194/body-194.html
202104_195,FLOTUS Travel Pool #1: Background & heading to JBA,2021-04-09T09:20:34-04:00,Sarah Mucha,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,195/body-195.html
202104_197,Pool Report #5 - travel-photo lid,2021-04-08T14:04:25-04:00,Chris Johnson,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,197/body-197.html
202104_198,Pool Report #4 - briefing ends,2021-04-08T13:47:07-04:00,Chris Johnson,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,198/body-198.html
